Generator,eff_base_only,eff_with_incr
N3_SAT_Central-West Orana,1.0,1.0
N3_WH_Central-West Orana,1.0,1.0
N3_WM_Central-West Orana,1.0,1.0
N4_Augmentation 1,1.0,1.0
N4_CST_Broken Hill,1.0,1.0
N4_SAT_Broken Hill,1.0,1.0
N4_WH_Broken Hill,1.0,1.0
N4_WM_Broken Hill,1.0,1.0
N5_Augmentation 1,1.0,1.0
N5_Augmentation 2,1.0,1.0
N5_Augmentation 3,1.0,1.0
N5_Augmentation 4,1.0,1.0
N5_Augmentation 5,1.0,1.0
N5_Augmentation 6,1.0,1.0
N5_Augmentation 7,1.0,1.0
N5_CST_South West NSW,1.0,1.0
N5_SAT_South West NSW,1.0,1.0
N5_WH_South West NSW,1.0,1.0
N5_WM_South West NSW,1.0,1.0
N6_Augmentation 1,1.0,1.0
N6_Augmentation 2,1.0,1.0
N6_Augmentation 3,1.0,1.0
N6_Augmentation 4,1.0,1.0
N6_CST_Wagga Wagga,1.0,1.0
N6_SAT_Wagga Wagga,1.0,1.0
N6_WH_Wagga Wagga,1.0,1.0
N6_WM_Wagga Wagga,1.0,1.0
N7_CST_Tumut,1.0,1.0
N7_SAT_Tumut,1.0,1.0
N7_WH_Tumut,1.0,1.0
N7_WM_Tumut,1.0,1.0
N8_Augmentation 1,1.0,1.0
N8_CST_Cooma-Monaro,1.0,1.0
N8_SAT_Cooma-Monaro,1.0,1.0
N8_WH_Cooma-Monaro,1.0,1.0
N8_WM_Cooma-Monaro,1.0,1.0
N9 Option 2,1.0,1.0
N9_Augmentation 1,1.0,1.0
N9_CST_Hunter-Central Coast,1.0,1.0
N9_SAT_Hunter-Central Coast,1.0,1.0
N9_WH_Hunter-Central Coast,1.0,1.0
N9_WM_Hunter-Central Coast,1.0,1.0
NBHWF1,1.0,1.0
NET1_Augmentation 1,1.0,1.0
NEVERSF1,1.0,1.0
New England Solar Farm 2,1.0,1.0
NEWENSF1,1.0,1.0
