class_id,class_name,collection_id,collection_description,property_id,property,property_description,filename,used
2,Generator,1,Generator objects,150,Initial Units Pumping,Number of units pumping at time zero,CAISOSA25 20250505,False
2,Generator,1,Generator objects,151,Initial Hours Pumping,Hours the unit has been pumping for at time zero,CAISOSA25 20250505,False
2,Generator,1,Generator objects,152,Last Start State,Number of hours the unit had been down before the last start,CAISOSA25 20250505,False
2,Generator,1,Generator objects,167,Max Heat Penalty,Adds a penalty to the max heat constraint to allow for relaxation,CAISOSA25 20250505,False
2,Generator,1,Generator objects,168,Opening Heat,Initial heat in the storage,CAISOSA25 20250505,False
2,Generator,1,Generator objects,175,Max Release,Maximum rate of release from each unit,CAISOSA25 20250505,False
2,Generator,1,Generator objects,180,Max Energy,Maximum energy,CAISOSA25 20250505,False
2,Generator,1,Generator objects,181,Max Energy Hour,Maximum energy in hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,182,Max Energy Day,Maximum energy in day,CAISOSA25 20250505,True
2,Generator,1,Generator objects,183,Max Energy Week,Maximum energy in week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,184,Max Energy Month,Maximum energy in month,CAISOSA25 20250505,False
2,Generator,1,Generator objects,185,Max Energy Year,Maximum energy in year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,186,Min Energy,Minimum energy,CAISOSA25 20250505,False
2,Generator,1,Generator objects,187,Min Energy Hour,Minimum energy in hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,188,Min Energy Day,Minimum energy in day,CAISOSA25 20250505,False
2,Generator,1,Generator objects,189,Min Energy Week,Minimum energy in week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,190,Min Energy Month,Minimum energy in month,CAISOSA25 20250505,False
2,Generator,1,Generator objects,191,Min Energy Year,Minimum energy in year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,192,Max Capacity Factor,Maximum capacity factor (energy constraint),CAISOSA25 20250505,False
2,Generator,1,Generator objects,193,Max Capacity Factor Hour,Maximum capacity factor in hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,194,Max Capacity Factor Day,Maximum capacity factor in day,CAISOSA25 20250505,False
2,Generator,1,Generator objects,195,Max Capacity Factor Week,Maximum capacity factor in week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,196,Max Capacity Factor Month,Maximum capacity factor in month,CAISOSA25 20250505,False
2,Generator,1,Generator objects,197,Max Capacity Factor Year,Maximum capacity factor in year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,198,Min Capacity Factor,Minimum capacity factor,CAISOSA25 20250505,False
2,Generator,1,Generator objects,199,Min Capacity Factor Hour,Minimum capacity factor in hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,200,Min Capacity Factor Day,Minimum capacity factor in day,CAISOSA25 20250505,False
2,Generator,1,Generator objects,201,Min Capacity Factor Week,Minimum capacity factor in week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,202,Min Capacity Factor Month,Minimum capacity factor in month,CAISOSA25 20250505,False
2,Generator,1,Generator objects,203,Min Capacity Factor Year,Minimum capacity factor in year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,206,Max Starts,Maximum number of starts allowed,CAISOSA25 20250505,False
2,Generator,1,Generator objects,207,Max Starts Hour,Maximum number of starts allowed in a hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,208,Max Starts Day,Maximum number of starts allowed in a day,CAISOSA25 20250505,True
2,Generator,1,Generator objects,209,Max Starts Week,Maximum number of starts allowed in a week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,210,Max Starts Month,Maximum number of starts allowed in a month,CAISOSA25 20250505,False
2,Generator,1,Generator objects,211,Max Starts Year,Maximum number of starts allowed in a year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,213,Energy Scalar,Scalar applied to generator energy limits and energy implied by capacity factor constraints,CAISOSA25 20250505,False
2,Generator,1,Generator objects,214,Max Generation Curtailed,Maximum generation curtailed,CAISOSA25 20250505,False
2,Generator,1,Generator objects,215,Max Generation Curtailed Hour,Maximum generation curtailed in hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,216,Max Generation Curtailed Day,Maximum generation curtailed in day,CAISOSA25 20250505,False
2,Generator,1,Generator objects,217,Max Generation Curtailed Week,Maximum generation curtailed in week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,218,Max Generation Curtailed Month,Maximum generation curtailed in month,CAISOSA25 20250505,False
2,Generator,1,Generator objects,219,Max Generation Curtailed Year,Maximum generation curtailed in year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,220,Max Generation Curtailment Factor,Maximum proportion of generation curtailed,CAISOSA25 20250505,False
2,Generator,1,Generator objects,221,Max Generation Curtailment Factor Hour,Maximum proportion of generation curtailed in hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,222,Max Generation Curtailment Factor Day,Maximum proportion of generation curtailed in day,CAISOSA25 20250505,False
2,Generator,1,Generator objects,223,Max Generation Curtailment Factor Week,Maximum proportion of generation curtailed in week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,224,Max Generation Curtailment Factor Month,Maximum proportion of generation curtailed in month,CAISOSA25 20250505,False
2,Generator,1,Generator objects,225,Max Generation Curtailment Factor Year,Maximum proportion of generation curtailed in year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,226,Max Heat Withdrawal,Maximum amount of heat that can be withdrawn from the storage,CAISOSA25 20250505,False
2,Generator,1,Generator objects,227,Max Heat Withdrawal Hour,Maximum amount of heat that can be withdrawn from the storage in a hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,228,Max Heat Withdrawal Day,Maximum amount of heat that can be withdrawn from the storage in a day,CAISOSA25 20250505,False
2,Generator,1,Generator objects,229,Max Heat Withdrawal Week,Maximum amount of heat that can be withdrawn from the storage in a week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,230,Max Heat Withdrawal Month,Maximum amount of heat that can be withdrawn from the storage in a month,CAISOSA25 20250505,False
2,Generator,1,Generator objects,231,Max Heat Withdrawal Year,Maximum amount of heat that can be withdrawn from the storage in a year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,232,Max Heat Injection,Maximum amount of heat that can be injected into the storage,CAISOSA25 20250505,False
2,Generator,1,Generator objects,233,Max Heat Injection Hour,Maximum amount of heat that can be injected into the storage in a hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,234,Max Heat Injection Day,Maximum amount of heat that can be injected into the storage in a day,CAISOSA25 20250505,False
2,Generator,1,Generator objects,235,Max Heat Injection Week,Maximum amount of heat that can be injected into the storage in a week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,236,Max Heat Injection Month,Maximum amount of heat that can be injected into the storage in a month,CAISOSA25 20250505,False
